"[0.8, 0.01]","[0.8, 0.05]","[0.8, 0.1]","[0.9, 0.01]","[0.9, 0.05]","[0.9, 0.1]"
12564.096199288257,12564.096199288257,12564.096199288257,12564.096199288257,12564.096199288257,12564.096199288257
13344.7364341637,13344.7364341637,13344.7364341637,13344.7364341637,13344.7364341637,13344.7364341637
